"population_multiplier, offsprings_multiplier, result, reward, convergence_iter"
5,5,6_0_2_9_4_8_1_3_9_7,584.261,3000
5,10,2_8_9_6_4_0_7_3_1_3,597.863,3000
5,15,0_8_7_3_4_2_1_2_9_0,536.415,82
5,20,3_0_9_1_4_8_7_6_2_9,573.755,3000
10,5,2_8_9_6_4_0_1_7_7_3,596.992,3000
10,10,3_0_2_6_4_8_1_3_9_7,589.522,3000
10,15,0_8_9_6_4_2_1_7_5_3,603.224,2762
10,20,0_8_9_6_4_2_1_7_5_3,603.224,2466
15,5,2_8_9_6_4_0_7_3_1_3,597.863,3000
15,10,3_8_5_6_4_0_1_2_9_7,614.840,3000
15,15,0_8_9_6_4_2_1_3_3_7,596.746,1041
15,20,0_8_9_6_4_2_1_3_3_7,596.746,3000
20,5,2_8_9_6_4_0_1_3_1_7,601.777,3000
20,10,5_0_3_6_4_8_1_2_9_7,600.299,3000
20,15,3_8_3_6_4_0_1_2_9_7,600.383,3000
20,20,2_8_9_6_4_0_1_7_7_3,596.992,2124
