population_multiplier,offsprings_multiplier,result,reward,convergence_iter
5,5,2_4_17_8_1_18_5_10_7_12_3_19_13_15_11_6_9_14_16_0,943.237,5000
5,10,19_6_11_9_13_10_3_17_7_12_18_14_2_0_4_15_8_5_16_1,937.955,5000
5,15,11_14_17_15_6_8_12_13_2_5_18_4_16_10_0_7_0_4_6_9,769.975,731
5,20,0_9_17_16_10_10_9_8_14_12_4_13_11_11_8_3_5_7_2_7,779.508,620
10,5,6_1_2_9_3_18_5_10_7_12_15_19_13_4_11_17_8_0_16_14,952.597,5000
10,10,4_8_5_9_1_3_2_13_7_6_10_18_14_12_11_17_19_0_15_16,940.441,5000
10,15,2_6_11_9_15_3_5_8_10_19_4_18_13_7_1_17_14_0_16_12,945.016,5000
10,20,2_8_7_9_16_3_19_1_10_0_17_18_13_4_11_6_14_5_15_12,945.322,5000
15,5,18_1_9_8_16_10_5_17_7_6_3_4_19_12_11_13_14_0_15_2,937.739,5000
15,10,6_1_11_9_13_18_5_10_7_12_17_19_2_0_4_3_8_14_15_16,947.742,5000
15,15,11_8_2_9_3_10_5_17_7_12_18_19_13_4_1_6_14_0_15_16,955.495,5000
15,20,2_8_11_9_15_18_5_10_7_6_17_12_13_0_4_3_14_19_16_1,949.743,5000
20,5,5_8_11_9_18_10_3_1_7_12_17_19_13_15_4_6_14_0_16_2,937.354,5000
20,10,11_1_17_9_4_19_5_8_10_12_3_18_13_0_15_6_14_7_16_2,947.526,5000
20,15,2_1_17_9_19_18_5_10_7_6_3_4_13_12_11_0_8_14_15_16,950.749,5000
20,20,2_1_11_12_3_18_5_13_10_6_7_19_14_4_9_17_8_0_15_16,951.100,5000
