population_multiplier,offsprings_multiplier,result,reward,convergence_iter
5,5,5_2_23_11_4_13_3_21_15_8_24_10_16_18_12_1_29_7_25_20_0_9_6_14_19_22_26_28_17_27,1674.349,12
5,10,5_2_23_11_4_13_3_21_15_17_24_10_16_18_12_1_29_7_25_20_0_9_6_14_19_22_26_28_17_27,1639.097,4
5,15,5_2_23_11_4_13_3_21_15_8_24_10_16_18_12_1_29_7_25_20_0_9_6_14_19_22_26_28_17_27,1674.349,4
5,20,5_2_23_11_4_13_3_21_15_8_24_10_16_18_12_1_29_7_25_20_0_9_6_14_19_22_26_28_17_27,1674.349,3
10,5,5_13_6_15_4_19_28_17_24_9_24_11_21_2_12_7_27_3_29_1_0_8_22_14_23_16_20_26_28_18,1784.535,10000
10,10,5_11_27_15_4_13_9_16_6_17_28_21_1_2_12_7_3_25_29_20_0_24_14_22_23_10_8_26_28_18,1817.259,10000
10,15,5_2_23_11_4_13_3_21_15_8_24_10_16_18_12_1_29_7_25_20_0_9_6_14_19_22_26_28_17_27,1674.349,8
10,20,5_2_23_11_4_13_3_21_15_8_24_10_16_18_12_1_29_7_25_20_0_9_6_14_19_22_26_28_17_27,1674.349,5
15,5,3_20_5_15_4_13_24_17_6_9_0_11_1_7_12_16_27_25_14_19_0_8_22_2_29_23_21_26_28_18,1800.506,10000
15,10,5_21_6_15_4_13_9_17_28_25_28_11_1_2_12_7_27_3_29_20_0_24_19_14_26_23_8_22_16_18,1808.715,10000
15,15,5_2_23_11_4_13_3_21_15_8_24_10_16_18_12_1_29_7_25_20_0_9_6_14_19_22_26_28_17_27,1674.349,15
15,20,5_2_23_11_4_13_3_21_15_8_24_10_16_18_12_1_29_7_25_20_0_9_6_14_19_22_26_28_17_27,1674.349,7
20,5,3_11_27_15_4_13_9_16_22_17_5_21_1_2_12_28_6_14_29_20_0_24_19_7_23_10_8_26_28_18,1811.648,10000
20,10,5_13_27_15_4_19_9_24_28_17_24_11_1_2_6_7_3_28_29_20_0_8_22_14_23_16_21_26_12_18,1788.681,10000
20,15,26_13_6_11_4_19_9_17_28_25_0_5_1_15_12_16_27_3_14_20_0_24_22_2_23_21_8_7_29_18,1804.100,10000
20,20,5_2_23_11_4_13_3_21_15_8_24_10_16_18_12_1_29_7_25_20_0_9_6_14_19_22_26_28_17_27,1674.349,15
